stud_Email,eyegaze_name,eyegaze_date_captured,eyegaze_time_captured
roque@test.com,Disengaged,2023-11-20,14:35:47
roque@test.com,Disengaged,2023-11-21,11:56:02
roque@test.com,Nominally Engaged,2023-11-21,19:33:37
roque@test.com,Nominally Engaged,2023-11-21,19:33:44
roque@test.com,Nominally Engaged,2023-11-21,19:33:47
roque@test.com,Nominally Engaged,2023-11-21,19:33:50
roque@test.com,Nominally Engaged,2023-11-21,19:33:53
roque@test.com,Nominally Engaged,2023-11-21,19:33:56
roque@test.com,Nominally Engaged,2023-11-21,19:33:59
roque@test.com,Nominally Engaged,2023-11-21,19:34:03
roque@test.com,Nominally Engaged,2023-11-21,19:34:15
roque@test.com,Nominally Engaged,2023-11-21,19:34:18
roque@test.com,Nominally Engaged,2023-11-21,19:34:21
roque@test.com,Nominally Engaged,2023-11-21,19:34:24
roque@test.com,Disengaged,2023-11-23,14:47:18
roque@test.com,Disengaged,2023-11-23,14:47:18
roque@test.com,Disengaged,2023-11-23,14:47:21
roque@test.com,Nominally Engaged,2023-11-23,14:47:21
roque@test.com,Disengaged,2023-11-23,14:47:27
roque@test.com,Disengaged,2023-11-23,14:47:27
roque@test.com,Nominally Engaged,2023-11-23,14:47:27
roque@test.com,Disengaged,2023-11-23,14:47:30
roque@test.com,Disengaged,2023-11-23,14:47:30
roque@test.com,Disengaged,2023-11-23,14:47:33
roque@test.com,Disengaged,2023-11-23,14:47:36
roque@test.com,Disengaged,2023-11-23,14:47:36
roque@test.com,Disengaged,2023-11-23,14:47:36
roque@test.com,Disengaged,2023-11-23,14:47:39
roque@test.com,Disengaged,2023-11-23,14:47:39
roque@test.com,Disengaged,2023-11-23,14:47:39
roque@test.com,Disengaged,2023-11-23,14:47:42
roque@test.com,Disengaged,2023-11-23,14:47:49
roque@test.com,Disengaged,2023-11-23,14:47:49
roque@test.com,Disengaged,2023-11-23,14:47:49
roque@test.com,Disengaged,2023-11-23,14:47:52
roque@test.com,Disengaged,2023-11-23,14:47:52
roque@test.com,Disengaged,2023-11-23,14:47:55
roque@test.com,Disengaged,2023-11-23,14:47:55
roque@test.com,Disengaged,2023-11-23,14:47:58
roque@test.com,Disengaged,2023-11-23,14:47:58
roque@test.com,Disengaged,2023-11-23,14:48:01
roque@test.com,Disengaged,2023-11-23,14:48:01
roque@test.com,Disengaged,2023-11-23,14:48:01
roque@test.com,Disengaged,2023-11-23,14:48:04
roque@test.com,Disengaged,2023-11-23,14:48:07
roque@test.com,Disengaged,2023-11-23,14:48:07
roque@test.com,Disengaged,2023-11-23,14:48:10
roque@test.com,Disengaged,2023-11-23,14:48:10
roque@test.com,Nominally Engaged,2023-11-23,14:48:10
roque@test.com,Disengaged,2023-11-23,14:48:13
roque@test.com,Disengaged,2023-11-23,14:48:13
roque@test.com,Disengaged,2023-11-23,20:51:20
roque@test.com,Disengaged,2023-11-23,20:51:23
roque@test.com,Disengaged,2023-11-23,20:51:42
roque@test.com,Disengaged,2023-11-23,20:51:45
roque@test.com,Disengaged,2023-11-23,20:51:45
roque@test.com,Disengaged,2023-11-23,20:51:49
roque@test.com,Disengaged,2023-11-23,20:51:49
roque@test.com,Disengaged,2023-11-23,20:52:05
roque@test.com,Engaged,2023-11-26,22:09:54
roque@test.com,Engaged,2023-11-26,22:09:54
roque@test.com,Nominally Engaged,2023-11-26,22:09:58
roque@test.com,Nominally Engaged,2023-11-26,22:09:58
roque@test.com,Engaged,2023-11-26,22:10:01
roque@test.com,Engaged,2023-11-26,22:10:01
roque@test.com,Nominally Engaged,2023-11-26,22:10:05
roque@test.com,Nominally Engaged,2023-11-26,22:10:05
roque@test.com,Nominally Engaged,2023-11-26,22:10:08
roque@test.com,Nominally Engaged,2023-11-26,22:10:08
roque@test.com,Nominally Engaged,2023-11-26,22:10:08
roque@test.com,Nominally Engaged,2023-11-26,22:10:11
roque@test.com,Nominally Engaged,2023-11-26,22:10:11
